shape,latitude,longitude,radius,name,value
circle,33.863537,-101.840651,6,AEEC,13.01666667
circle,29.449941,-101.057678,6,AMISTAD_ALL,13.40583333
circle,29.37513429,-94.95509432,6,AMOCOOIL_CC1,14.24416667
circle,29.22552086,-100.1825905,6,ANACACHO_ANA,14.1425
circle,30.64684839,-96.40589724,6,ATK_ATKINSG7,13.9925
circle,30.29151651,-97.81064291,6,AUSTPL_ALL,14.79333333
circle,29.71176449,-95.09326603,6,AZ_ALL,14.2
circle,29.48734436,-95.02418018,6,BAC_RN_ALL,14.24333333
circle,27.11223125,-97.55732812,6,BAFFIN_ALL,14.81416667
circle,30.14190308,-97.58035674,6,BASTEN_CC1,14.61833333
circle,26.51377756,-97.64944259,6,BBREEZE_1_2,14.81916667
circle,33.50820512,-98.59361591,6,BCATWD_WD_1,13.12166667
circle,34.27497392,-99.37658891,6,BLSMT1_5_A_6,13.06916667
circle,31.03958363,-102.3012234,6,BOOTLEG_UN1,12.36083333
circle,27.37405475,-98.93904518,6,BORDAS_345,14.83083333
circle,31.86245746,-97.37309918,6,BOSQUESW_CC1,13.70333333
circle,29.26292422,-98.40938697,6,BRAUNIG_CC1,15.09916667
circle,32.94715478,-101.1497925,6,BRAZ_WND_ALL,12.76916667
circle,34.36848231,-101.3800786,6,BRISCOE_WIND,13.03333333
circle,33.05936485,-98.38635835,6,BRTSW_BCW1,13.2275
circle,29.15071415,-95.66898147,6,BSS_U1,14.18916667
circle,29.76786953,-94.93206571,6,BTE_CC1,14.61
circle,30.75905846,-98.43241559,6,BUCHAN_ALL,13.29416667
circle,32.36740276,-98.36332974,6,BUCKTHRN_RN,12.505
circle,32.29259605,-100.1365333,6,BUFF_GAP_ALL,12.71666667
circle,32.90975142,-101.6103648,6,BULLCRK_1_2,14.26833333
circle,29.46864268,-95.64595285,6,BVE_CC1,14.22416667
circle,29.6182561,-95.07023741,6,BYU_CC1,14.80333333
circle,27.61717656,-97.32704194,6,B_DAVIS_CC1,14.82833333
circle,26.66339098,-99.05418826,6,CABEZON_ALL,15.05416667
circle,29.31902925,-98.34030112,6,CALAVER_JKS1,14.76083333
circle,28.6831722,-96.56709756,6,CALHOUN_ALL,12.42
circle,32.29259605,-99.99836159,6,CALLAHA_WND1,14.20416667
circle,29.73046617,-95.20840912,6,CAL_CC1,14.81916667
circle,26.21455071,-97.48824226,6,CAMWIND_RN,12.225
circle,31.91856249,-100.9425349,6,CAPRIDG4_CR4,12.51916667
circle,32.27389437,-101.4031073,6,CARBN_BSP_1,12.4
circle,31.26400376,-102.324252,6,CASL_GAP_UN1,14.35583333
circle,29.30032758,-96.10652521,6,CBECII_CC3,14.38916667
circle,29.30032758,-96.10652521,6,CBEC_CC1,14.19333333
circle,29.74916785,-94.95509432,6,CBY4_CC1,14.79916667
circle,27.82289502,-97.44218503,6,CCEC_CC1,14.82583333
circle,27.61717656,-98.86995932,6,CEDROHI_CHW1,-8.965
circle,31.09568866,-100.0674474,6,CFLATS_UNIT,14.185
circle,29.88007959,-95.13932326,6,CHAMON_UN2,14.18
circle,29.71176449,-95.25446635,6,CHE_CC1,14.84166667
circle,28.79538227,-97.02766991,6,CITYVICT_ALL,13.01666667
circle,35.19135614,-102.324252,6,CN_BRKS_UNT1,13.34083333
circle,28.72057556,-97.23492747,6,COL_COLETOG1,12.78833333
circle,33.97574707,-101.1958497,6,COTPLNS_RN,14.16916667
circle,32.29259605,-97.81064291,6,CPSES_UNIT1,13.99333333
circle,32.74143632,-100.8504204,6,CSC_CSECG1_2,13.36916667
circle,29.84267624,-95.13932326,6,CVC_CC1,14.21333333
circle,30.7216551,-96.49801171,6,DANSBY_ALL,14.76833333
circle,32.40480612,-97.71852844,6,DC2SES_ALL,13.40916667
circle,29.71176449,-95.16235188,6,DDPEC_CC1,12.91166667
circle,30.31021819,-97.62641397,6,DECKER_DPG2,14.20583333
circle,33.80743197,-96.59012618,6,DENISON_G1_2,14.34416667
circle,32.85364639,-100.9885921,6,DERMOTT_ALL,14.81916667
circle,29.73046617,-95.11629465,6,DIB_CC1,14.78916667
circle,28.98239905,-95.41566668,6,DOWGEN_PUN1,13.9225
circle,26.36416414,-98.20212941,6,DUKE_CC1,12.565
circle,28.6831722,-96.98161268,6,DUP_PUN1,13.0775
circle,29.33773093,-100.4128767,6,ECLIPSE_UN1,13.515
circle,32.14298263,-101.4031073,6,ELB_ELBCREEK,14.81916667
circle,34.08795714,-99.12327412,6,ELECTRAW_1_2,14.82583333
circle,32.31129773,-96.70526926,6,ETCCS_CC1,14.195
circle,27.20573964,-98.91601656,6,EXGNSND_RN,14.81916667
circle,27.52366817,-99.03115965,6,EXGNWTL_1,14.23833333
circle,29.76786953,-95.04720879,6,EXN_PUN1,14.74583333
circle,26.56988259,-99.16933135,6,FAL_FALCONG1,12.71083333
circle,29.63695778,-95.48475253,6,FEGC_RN,12.57
circle,30.55334,-98.38635835,6,FERGCC_CC1,13.15416667
circle,29.76786953,-100.7122487,6,FERMI_ALL,12.87666667
circle,32.27389437,-101.4261359,6,FLCNS_CC1,14.75666667
circle,32.32999941,-98.47847282,6,FLTCK_SSI,14.75666667
circle,32.89104975,-101.1728211,6,FLUVANNA_1_2,14.63083333
circle,33.91964203,-99.79110403,6,FOARDCTY_ALL,13.64916667
circle,28.70187388,-96.56709756,6,FORMOSA_CC1,13.47416667
circle,28.66447053,-96.56709756,6,FO_FORMOSA11,14.02583333
circle,29.91748295,-96.77435512,6,FPPYD_FPP_G1,13.015
circle,31.88115914,-96.12955382,6,FREC_CC1,14.20833333
circle,32.760138,-96.52104032,6,FRNYPP_CC1,12.2875
circle,30.59074336,-95.94532488,6,FTR_CC1,12.96833333
circle,31.69414236,-98.63967315,6,FTWIND_UNIT1,13.0375
circle,29.82397456,-95.25446635,6,GBY_GT,13.10333333
circle,31.89986081,-100.8734491,6,GOA_GOATWIND,14.9425
circle,33.65781854,-99.37658891,6,GPASTURE_ALL,12.62833333
circle,35.24746117,-101.3800786,6,GRANDVW1_A_B,13.745
circle,33.13417156,-98.63967315,6,GRSES_UNIT1,14.92416667
circle,29.6182561,-98.17910079,6,GUADG_CC1,14.6625
circle,32.19908766,-101.4261359,6,GUNMTN_NODE,15.83666667
circle,31.43231886,-98.59361591,6,GWEC_G1,12.505
circle,29.7865712,-98.01790047,6,HAYSEN1_2,12.24083333
circle,29.22552086,-99.72201818,6,HELIOS_RN,13.41166667
circle,29.99228966,-98.91601656,6,HHGT_KENDAL,13.06583333
circle,32.21778934,-100.0444188,6,HHOLLW2_WND1,12.485
circle,31.11439034,-101.35705,6,HICK_G1_G2,13.03583333
circle,32.72273464,-97.23492747,6,HLSES_UNIT3,12.88916667
circle,33.28378498,-99.56081785,6,HORSECRK_RN,12.74166667
circle,30.94607524,-103.3605398,6,HOVEY_GEN,14.79166667
circle,34.76121754,-102.3012234,6,HRFDWIND_ALL,15.03083333
circle,32.81624303,-99.28447444,6,HWF_HWFG1,13.31
circle,32.49831451,-100.5971056,6,IND_INADALE1,13.31
circle,27.89770173,-97.25795609,6,INGLCOSW_CC1,12.395
circle,30.74035678,-98.40938697,6,INKS_INKS_G1,13.41916667
